stock	variant	W_n	W_mean	W_median	W_iqm	L1_n	L1_mean	L1_median	L1_iqm
000617XSHE	blank_3ep_openanchor	20	0.3750048419	0.3348540552	0.3380528475	20	0.3729069256	0.3698371194	0.3508682948
000617XSHE	sentence_s2ip_k3	20	0.4832547844	0.3731011053	0.3757224342	20	0.3878015333	0.3283428792	0.356435531
000617XSHE	sentence_s2ip_k5	20	0.4724754672	0.396084166	0.3814328189	20	0.408929077	0.3880701021	0.3919434633
000981XSHE	blank_3ep_openanchor	18	0.8910065612	0.8708655422	0.9280147768	18	0.6078066227	0.6929329295	0.6459088858
000981XSHE	sentence_s2ip_k3	19	0.8792723021	0.7830742754	0.9008955393	18	0.6684425462	0.7249464633	0.7204787459
000981XSHE	sentence_s2ip_k5	19	0.8461209469	0.7468250267	0.8311048506	18	0.6176231081	0.6889478047	0.654429561
002263XSHE	blank_3ep_openanchor	21	0.8491658282	0.7334521594	0.6545139403	20	0.5824871345	0.6931511738	0.6090164513
002263XSHE	sentence_s2ip_k3	18	0.7082602656	0.4816953378	0.5209224689	18	0.4908085934	0.4240495558	0.4763137667
002263XSHE	sentence_s2ip_k5	18	0.7383780727	0.4632981227	0.5081872253	18	0.4939976357	0.4718837376	0.4942425682
002366XSHE	blank_3ep_openanchor	21	0.5672230841	0.4477155724	0.4459719751	20	0.3743085291	0.3385656266	0.3404558919
002366XSHE	sentence_s2ip_k3	20	0.4838126436	0.4136760732	0.4186002883	20	0.3538873577	0.3641491802	0.3575645685
002366XSHE	sentence_s2ip_k5	20	0.4525404262	0.4869454577	0.4500824744	20	0.366814995	0.3940104035	0.3768969001
